id,V,A,D,text
110CYL068_1036_1079,0.5294117647058825,0.46153846153846134,0.5454545454545455,"Remember what she said in my last letter? """
110CYL068_1127_1130,0.5294117647058825,0.46153846153846134,0.4545454545454545,".."""
110CYL068_1137_1188,0.6588235294117648,0.46153846153846134,0.5545454545454546,Goodwill helps people get off of public assistance.
110CYL068_1189_1328,0.6911764705882355,0.5653846153846153,0.6636363636363637,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.
110CYL068_1475_1558,0.7058823529411766,0.5769230769230768,0.818181818181818,Coming to Goodwill was the first step toward my becoming totally independent.
110CYL068_1559_1601,0.5294117647058825,0.46153846153846134,0.5000000000000001,"I am now... totally off of welfare."""
110CYL068_1608_1658,0.5588235294117648,0.4999999999999999,0.5000000000000001,Goodwill prepares people for life-long employment.
110CYL068_163_275,0.6029411764705883,0.41538461538461513,0.4545454545454545,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli."
110CYL068_1659_1810,0.6029411764705883,0.46153846153846134,0.5681818181818182,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.
110CYL068_18_24,0.5294117647058825,0.31538461538461526,0.4545454545454545,"Dear ,"
110CYL068_2040_2141,0.697058823529412,0.5730769230769229,0.5863636363636363,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """
110CYL068_2141_2194,0.49411764705882366,0.46153846153846134,0.5681818181818182,I rode a bike to Goodwill in the rain and snow.
110CYL068_2195_2216,0.4411764705882354,0.5769230769230768,0.40909090909090906,I wanted to be there.
110CYL068_2216_2266,0.6764705882352944,0.6538461538461536,0.7954545454545455,"..I had my second chance to change my life."""
110CYL068_2273_2373,0.7147058823529413,0.5576923076923076,0.6227272727272727,Your gift to Goodwill will help the many people who want to tell their own stories of success.
110CYL068_2374_2413,0.7352941176470591,0.6153846153846151,0.5909090909090907,Your support will help them go to work.
110CYL068_2420_2501,0.6764705882352944,0.6153846153846151,0.5454545454545455,Please use the enclosed envelope to give a generous gift to Goodwill today!
110CYL068_2508_2518,0.5705882352941178,0.40769230769230747,0.5181818181818182,"Sincerely,"
110CYL068_2525_2582,0.5588235294117648,0.26923076923076916,0.5454545454545455,"William A Carter, Chairman Goodwill Industries Foundation"
110CYL068_2589_2593,0.5294117647058825,0.24230769230769222,0.4545454545454545,P.S.
110CYL068_2594_2642,0.6764705882352944,0.4115384615384615,0.5681818181818182,Your gift is a wise investment in the community.
110CYL068_2643_2750,0.7882352941176471,0.6038461538461538,0.6272727272727271,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102."
110CYL068_2751_2841,0.6029411764705883,0.5076923076923076,0.5681818181818182,"That money was then spent in a variety of ways, adding fuel to our thriving economy."
110CYL068_31_156,0.6470588235294119,0.46153846153846134,0.5000000000000001,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.
110CYL068_387_522,0.6382352941176472,0.5307692307692308,0.6227272727272727,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million."
110CYL068_523_653,0.7058823529411766,0.423076923076923,0.6363636363636364,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.
110CYL068_660_695,0.5294117647058825,0.2884615384615383,0.3727272727272727,What kind of work does Goodwill do?
110CYL068_702_771,0.6147058823529413,0.46153846153846134,0.4545454545454545,Goodwill finds jobs for people with mental and physical disabilities.
110CYL068_778_1035,0.6558823529411766,0.5730769230769229,0.5863636363636363,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society."
110CYL069_1152_1284,0.7058823529411766,0.5384615384615384,0.5454545454545455,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:"
110CYL069_1285_1401,0.6470588235294119,0.5384615384615384,0.4545454545454545,"The business community welcomes not only another worker, but a consumer with increased purchasing power."
110CYL069_1402_1477,0.5294117647058825,0.423076923076923,0.5454545454545455,Parents act as role models of self-sufficiency instead of dependency.
110CYL069_1478_1554,0.5647058823529413,0.46153846153846134,0.4545454545454545,Tax dollars that would have been spent on public assistance are saved.
110CYL069_1561_1631,0.4411764705882354,0.38461538461538447,0.6363636363636364,You and I know that solutions to difficult problems don't just happen.
